event_date,upid,event_name,device_category,event_ts,params_key,string_value,int_value,float_value,double_value,traffic_source_name,traffic_source_medium,traffic_source_source
2025-11-11,u96,page_view,desktop,2025-11-10 15:59:12.000000 UTC,page_location,/official-events/1056?utm_source=instagram&utm_medium=cpc&utm_campaign=spring_sale,,,,google,organic,google
2025-11-11,u96,purchase,desktop,2025-11-10 16:00:32.000000 UTC,revenue,,10997,,,google,organic,google
2025-11-11,u97,purchase,mobile,2025-11-10 16:01:09.000000 UTC,page_location,/checkout/complete,,,,twitter,referral,t.co
2025-11-11,u98,dummy_event_02,tablet,2025-11-10 16:01:57.000000 UTC,ga_session_id,,1895194977710129851,,,line,cpc,line.me
2025-11-11,u100,dummy_event_04,mobile,2025-11-10 16:03:13.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u111,OfficialEventsClick,desktop,2025-11-10 16:09:17.000000 UTC,page_location,/surveys/111/responses/777,,,,direct,(none),(direct)
2025-11-11,u116,dummy_event_05,tablet,2025-11-10 16:13:06.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u119,page_view,tablet,2025-11-10 16:13:43.000000 UTC,ga_session_id,,3313405399486823732,,,direct,(none),(direct)
2025-11-11,u119,dummy_event_03,tablet,2025-11-10 16:14:55.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u122,page_view,tablet,2025-11-10 16:15:59.000000 UTC,page_location,/surveys/122/responses/854,,,,line,cpc,line.me
2025-11-11,u123,dummy_event_06,desktop,2025-11-10 16:17:26.000000 UTC,ga_session_id,,7631141013365672155,,,direct,(none),(direct)
2025-11-11,u129,OfficialEventsClick,desktop,2025-11-10 16:20:08.000000 UTC,ga_session_id,,2976662487019415364,,,twitter,referral,t.co
2025-11-11,u132,page_view,desktop,2025-11-10 16:21:34.000000 UTC,ga_session_id,,5381976798538504031,,,google,organic,google
2025-11-11,u135,OfficialEventsClick,desktop,2025-11-10 16:24:05.000000 UTC,page_location,/surveys/135/responses/945,,,,direct,(none),(direct)
2025-11-11,u135,OfficialEventsClick,desktop,2025-11-10 16:24:05.000000 UTC,ga_session_id,,3248543504264901277,,,direct,(none),(direct)
2025-11-11,u147,page_view,desktop,2025-11-10 16:30:49.000000 UTC,page_location,/official-events/1619,,,,direct,(none),(direct)
2025-11-11,u147,OfficialEventsClick,desktop,2025-11-10 16:31:14.000000 UTC,ga_session_id,,8355039289803745333,,,direct,(none),(direct)
2025-11-11,u148,page_view,mobile,2025-11-10 16:31:16.000000 UTC,ga_session_id,,6571504319043304698,,,google,organic,google
2025-11-11,u155,page_view,tablet,2025-11-10 16:36:35.000000 UTC,ga_session_id,,6201469661976099585,,,direct,(none),(direct)
2025-11-11,u160,page_view,mobile,2025-11-10 16:38:50.000000 UTC,page_location,/official-events/1762?utm_source=twitter&utm_medium=cpc&utm_campaign=spring_sale,,,,google,organic,google
2025-11-11,u164,page_view,tablet,2025-11-10 16:41:53.000000 UTC,ga_session_id,,6535499791091007920,,,google,organic,google
2025-11-11,u165,page_view,desktop,2025-11-10 16:41:55.000000 UTC,ga_session_id,,1010516178840450600,,,twitter,referral,t.co
2025-11-11,u167,page_view,tablet,2025-11-10 16:43:44.000000 UTC,ga_session_id,,8861456458811243440,,,direct,(none),(direct)
2025-11-11,u172,page_view,mobile,2025-11-10 16:46:49.000000 UTC,page_location,/surveys/172/responses/1204,,,,google,organic,google
2025-11-11,u177,OfficialEventsClick,desktop,2025-11-10 16:49:44.000000 UTC,page_location,/surveys/177/responses/new,,,,twitter,referral,t.co
2025-11-11,u183,dummy_event_03,desktop,2025-11-10 16:54:23.000000 UTC,ga_session_id,,5864627139283717676,,,direct,(none),(direct)
2025-11-11,u187,page_view,mobile,2025-11-10 16:55:24.000000 UTC,page_location,/official-events/58,,,,direct,(none),(direct)
2025-11-11,u187,OfficialEventsClick,mobile,2025-11-10 16:56:09.000000 UTC,Click_Classes,squareBtnM,,,,direct,(none),(direct)
2025-11-11,u190,dummy_event_04,mobile,2025-11-10 16:58:43.000000 UTC,ga_session_id,,3987307292178410339,,,line,cpc,line.me
2025-11-11,u191,page_view,tablet,2025-11-10 16:57:52.000000 UTC,page_location,/official-events/102?utm_source=twitter&utm_medium=cpc&utm_campaign=spring_sale,,,,direct,(none),(direct)
2025-11-11,u191,purchase,tablet,2025-11-10 16:59:07.000000 UTC,page_location,/checkout/complete,,,,direct,(none),(direct)
2025-11-11,u202,page_view,mobile,2025-11-10 17:04:39.000000 UTC,ga_session_id,,2837004304212875688,,,line,cpc,line.me
2025-11-11,u204,OfficialEventsClick,desktop,2025-11-10 17:06:38.000000 UTC,Click_Classes,squareBtnM,,,,google,organic,google
2025-11-11,u205,page_view,mobile,2025-11-10 17:07:10.000000 UTC,ga_session_id,,5962822073483375306,,,twitter,referral,t.co
2025-11-11,u213,page_view,desktop,2025-11-10 17:11:21.000000 UTC,ga_session_id,,4966002096964021068,,,twitter,referral,t.co
2025-11-11,u214,page_view,mobile,2025-11-10 17:12:18.000000 UTC,ga_session_id,,6979282442532045232,,,line,cpc,line.me
2025-11-11,u215,dummy_event_04,tablet,2025-11-10 17:14:08.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u217,dummy_event_02,mobile,2025-11-10 17:15:20.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u219,dummy_event_02,desktop,2025-11-10 17:16:34.000000 UTC,ga_session_id,,1517796119315203843,,,direct,(none),(direct)
2025-11-11,u220,page_view,mobile,2025-11-10 17:16:40.000000 UTC,page_location,/surveys/220/content,,,,google,organic,google
2025-11-11,u227,page_view,tablet,2025-11-10 17:19:59.000000 UTC,ga_session_id,,3956607299296569940,,,direct,(none),(direct)
2025-11-11,u237,login,desktop,2025-11-10 17:26:34.000000 UTC,page_location,/user/add,,,,twitter,referral,t.co
2025-11-11,u239,page_view,tablet,2025-11-10 17:28:23.000000 UTC,ga_session_id,,4148499348161005988,,,direct,(none),(direct)
2025-11-11,u242,dummy_event_02,tablet,2025-11-10 17:30:45.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u244,dummy_event_02,mobile,2025-11-10 17:31:59.000000 UTC,ga_session_id,,583965011156942564,,,google,organic,google
2025-11-11,u246,page_view,desktop,2025-11-10 17:32:02.000000 UTC,ga_session_id,,3309010412393778775,,,line,cpc,line.me
2025-11-11,u246,dummy_event_04,desktop,2025-11-10 17:33:15.000000 UTC,ga_session_id,,3309010412393778775,,,line,cpc,line.me
2025-11-11,u247,page_view,mobile,2025-11-10 17:32:19.000000 UTC,ga_session_id,,7001285759496575727,,,direct,(none),(direct)
2025-11-11,u247,dummy_event_03,mobile,2025-11-10 17:33:51.000000 UTC,ga_session_id,,7001285759496575727,,,direct,(none),(direct)
2025-11-11,u248,page_view,tablet,2025-11-10 17:33:06.000000 UTC,ga_session_id,,5306358304448243218,,,google,organic,google
2025-11-11,u273,dummy_event_04,desktop,2025-11-10 17:49:54.000000 UTC,ga_session_id,,8173927449685061145,,,twitter,referral,t.co
2025-11-11,u276,dummy_event_06,desktop,2025-11-10 17:51:47.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u276,dummy_event_06,desktop,2025-11-10 17:51:47.000000 UTC,ga_session_id,,2795309290865381790,,,google,organic,google
2025-11-11,u277,dummy_event_02,mobile,2025-11-10 17:52:20.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u277,dummy_event_04,mobile,2025-11-10 17:52:22.000000 UTC,ga_session_id,,4929717645687585871,,,twitter,referral,t.co
2025-11-11,u280,page_view,mobile,2025-11-10 17:53:10.000000 UTC,ga_session_id,,7956942512915971180,,,google,organic,google
2025-11-11,u285,page_view,desktop,2025-11-10 17:56:05.000000 UTC,page_location,/user/add,,,,twitter,referral,t.co
2025-11-11,u294,page_view,desktop,2025-11-10 18:02:03.000000 UTC,ga_session_id,,4054639922418002816,,,line,cpc,line.me
2025-11-11,u300,page_view,desktop,2025-11-10 18:05:05.000000 UTC,page_location,/official-events/1301?utm_source=twitter&utm_medium=cpc&utm_campaign=autumn_launch,,,,google,organic,google
2025-11-11,u300,dummy_event_04,desktop,2025-11-10 18:06:33.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u307,page_view,mobile,2025-11-10 18:10:19.000000 UTC,ga_session_id,,8555930355969755847,,,direct,(none),(direct)
2025-11-11,u310,page_view,mobile,2025-11-10 18:11:15.000000 UTC,page_location,/official-events/1411,,,,line,cpc,line.me
2025-11-11,u314,login,tablet,2025-11-10 18:14:03.000000 UTC,ga_session_id,,3570609324999386757,,,line,cpc,line.me
2025-11-11,u320,dummy_event_05,tablet,2025-11-10 18:18:54.000000 UTC,ga_session_id,,7632237181981029902,,,google,organic,google
2025-11-11,u328,page_view,mobile,2025-11-10 18:22:16.000000 UTC,page_location,/official-events/1608,,,,google,organic,google
2025-11-11,u329,page_view,tablet,2025-11-10 18:23:03.000000 UTC,ga_session_id,,6645385036736150143,,,twitter,referral,t.co
2025-11-11,u329,page_view,tablet,2025-11-10 18:23:38.000000 UTC,page_location,/surveys/329/responses/2303,,,,twitter,referral,t.co
2025-11-11,u338,OfficialEventsClick,tablet,2025-11-10 18:29:16.000000 UTC,Click_Classes,squareBtnM,,,,line,cpc,line.me
2025-11-11,u346,page_view,mobile,2025-11-10 18:33:32.000000 UTC,page_location,/official-events/1808?utm_source=instagram&utm_medium=cpc&utm_campaign=summer_event,,,,line,cpc,line.me
2025-11-11,u346,dummy_event_03,mobile,2025-11-10 18:34:54.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u349,dummy_event_02,mobile,2025-11-10 18:36:44.000000 UTC,ga_session_id,,4350028548529353740,,,twitter,referral,t.co
2025-11-11,u353,purchase,tablet,2025-11-10 18:39:01.000000 UTC,page_location,/checkout/complete,,,,twitter,referral,t.co
2025-11-11,u354,page_view,desktop,2025-11-10 18:38:18.000000 UTC,ga_session_id,,4254030110861071863,,,line,cpc,line.me
2025-11-11,u355,page_view,mobile,2025-11-10 18:39:00.000000 UTC,page_location,/official-events/1906,,,,direct,(none),(direct)
2025-11-11,u356,purchase,tablet,2025-11-10 18:40:52.000000 UTC,ga_session_id,,3655635993667304675,,,google,organic,google
2025-11-11,u358,page_view,mobile,2025-11-10 18:41:16.000000 UTC,ga_session_id,,4788346964573897563,,,line,cpc,line.me
2025-11-11,u362,page_view,tablet,2025-11-10 18:43:24.000000 UTC,page_location,/official-events/1984,,,,line,cpc,line.me
2025-11-11,u367,dummy_event_05,mobile,2025-11-10 18:47:53.000000 UTC,ga_session_id,,4496061028220857454,,,direct,(none),(direct)
2025-11-11,u369,page_view,desktop,2025-11-10 18:47:38.000000 UTC,ga_session_id,,7444885632282858097,,,twitter,referral,t.co
2025-11-11,u370,page_view,mobile,2025-11-10 18:48:40.000000 UTC,ga_session_id,,4700536363778505102,,,line,cpc,line.me
2025-11-11,u373,page_view,mobile,2025-11-10 18:50:06.000000 UTC,page_location,/official-events/104?utm_source=instagram&utm_medium=cpc&utm_campaign=spring_sale,,,,twitter,referral,t.co
2025-11-11,u373,page_view,mobile,2025-11-10 18:50:46.000000 UTC,ga_session_id,,561754966263047078,,,twitter,referral,t.co
2025-11-11,u376,dummy_event_03,mobile,2025-11-10 18:53:24.000000 UTC,ga_session_id,,6537061631316379411,,,google,organic,google
2025-11-11,u377,dummy_event_04,tablet,2025-11-10 18:54:02.000000 UTC,ga_session_id,,109156970433663663,,,twitter,referral,t.co
2025-11-11,u379,page_view,mobile,2025-11-10 18:53:53.000000 UTC,page_location,/official-events/171?utm_source=instagram&utm_medium=cpc&utm_campaign=winter_push,,,,direct,(none),(direct)
2025-11-11,u379,page_view,mobile,2025-11-10 18:54:03.000000 UTC,page_location,/user/add,,,,direct,(none),(direct)
2025-11-11,u379,login,mobile,2025-11-10 18:54:08.000000 UTC,ga_session_id,,3054959955012183751,,,direct,(none),(direct)
2025-11-11,u379,OfficialEventsClick,mobile,2025-11-10 18:54:18.000000 UTC,page_location,/surveys/379/responses/new,,,,direct,(none),(direct)
2025-11-11,u380,purchase,tablet,2025-11-10 18:55:40.000000 UTC,page_location,/checkout/complete,,,,google,organic,google
2025-11-11,u381,login,desktop,2025-11-10 18:55:22.000000 UTC,page_location,/user/add,,,,twitter,referral,t.co
2025-11-11,u394,login,mobile,2025-11-10 19:03:23.000000 UTC,ga_session_id,,6221989186176408009,,,line,cpc,line.me
2025-11-11,u400,OfficialEventsClick,mobile,2025-11-10 19:07:30.000000 UTC,page_location,/surveys/400/responses/2800,,,,google,organic,google
2025-11-11,u403,page_view,mobile,2025-11-10 19:08:36.000000 UTC,page_location,/official-events/434,,,,direct,(none),(direct)
2025-11-11,u403,page_view,mobile,2025-11-10 19:08:51.000000 UTC,ga_session_id,,9047419637789022581,,,direct,(none),(direct)
2025-11-11,u410,page_view,tablet,2025-11-10 19:13:10.000000 UTC,page_location,/user/add,,,,line,cpc,line.me
2025-11-11,u410,dummy_event_03,tablet,2025-11-10 19:14:22.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u411,page_view,desktop,2025-11-10 19:13:37.000000 UTC,ga_session_id,,5538956744892082573,,,direct,(none),(direct)
2025-11-11,u422,purchase,tablet,2025-11-10 19:21:34.000000 UTC,page_location,/checkout/complete,,,,line,cpc,line.me
2025-11-11,u423,dummy_event_05,desktop,2025-11-10 19:22:25.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u426,page_view,desktop,2025-11-10 19:23:27.000000 UTC,page_location,/surveys/426/responses/2982,,,,line,cpc,line.me
2025-11-11,u434,page_view,tablet,2025-11-10 19:28:38.000000 UTC,ga_session_id,,7735788780588017541,,,line,cpc,line.me
2025-11-11,u438,page_view,desktop,2025-11-10 19:30:26.000000 UTC,page_location,/new_users/which,,,,line,cpc,line.me
2025-11-11,u440,login,tablet,2025-11-10 19:31:45.000000 UTC,ga_session_id,,9055905835292677003,,,google,organic,google
2025-11-11,u448,dummy_event_03,mobile,2025-11-10 19:37:48.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u456,page_view,desktop,2025-11-10 19:41:32.000000 UTC,ga_session_id,,3300844467398043303,,,google,organic,google
2025-11-11,u457,dummy_event_05,mobile,2025-11-10 19:43:23.000000 UTC,ga_session_id,,2780185016275096703,,,twitter,referral,t.co
2025-11-11,u459,dummy_event_06,desktop,2025-11-10 19:44:38.000000 UTC,ga_session_id,,4364983560847327813,,,direct,(none),(direct)
2025-11-11,u461,OfficialEventsClick,tablet,2025-11-10 19:44:52.000000 UTC,Click_Classes,participateBtn,,,,twitter,referral,t.co
2025-11-11,u462,page_view,desktop,2025-11-10 19:44:54.000000 UTC,ga_session_id,,2669741244870165944,,,line,cpc,line.me
2025-11-11,u466,page_view,mobile,2025-11-10 19:48:07.000000 UTC,ga_session_id,,7218114680457556651,,,line,cpc,line.me
2025-11-11,u469,OfficialEventsClick,mobile,2025-11-10 19:50:03.000000 UTC,Click_Classes,squareBtnM,,,,twitter,referral,t.co
2025-11-11,u474,login,desktop,2025-11-10 19:52:43.000000 UTC,page_location,/user/add,,,,line,cpc,line.me
2025-11-11,u474,OfficialEventsClick,desktop,2025-11-10 19:52:53.000000 UTC,page_location,/surveys/474/responses/new,,,,line,cpc,line.me
2025-11-11,u474,page_view,desktop,2025-11-10 19:53:03.000000 UTC,ga_session_id,,4305665268871744104,,,line,cpc,line.me
2025-11-11,u474,dummy_event_03,desktop,2025-11-10 19:53:50.000000 UTC,ga_session_id,,4305665268871744104,,,line,cpc,line.me
2025-11-11,u476,OfficialEventsClick,tablet,2025-11-10 19:54:22.000000 UTC,Click_Classes,squareBtnM,,,,google,organic,google
2025-11-11,u476,purchase,tablet,2025-11-10 19:54:52.000000 UTC,revenue,,18827,,,google,organic,google
2025-11-11,u477,dummy_event_02,desktop,2025-11-10 19:55:40.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u484,page_view,mobile,2025-11-10 19:58:28.000000 UTC,ga_session_id,,1963465045226793837,,,google,organic,google
2025-11-11,u485,dummy_event_03,tablet,2025-11-10 20:00:37.000000 UTC,ga_session_id,,9101673415390014097,,,twitter,referral,t.co
2025-11-11,u487,OfficialEventsClick,mobile,2025-11-10 20:00:54.000000 UTC,Click_Classes,participateBtn,,,,direct,(none),(direct)
2025-11-11,u491,OfficialEventsClick,tablet,2025-11-10 20:03:37.000000 UTC,Click_Classes,squareBtnM,,,,direct,(none),(direct)
2025-11-11,u495,page_view,desktop,2025-11-10 20:05:35.000000 UTC,ga_session_id,,2793316635756123324,,,direct,(none),(direct)
2025-11-11,u497,OfficialEventsClick,tablet,2025-11-10 20:07:04.000000 UTC,page_location,/surveys/497/responses/new,,,,twitter,referral,t.co
2025-11-11,u500,dummy_event_02,tablet,2025-11-10 20:09:51.000000 UTC,ga_session_id,,4867879582282933911,,,google,organic,google
2025-11-11,u502,dummy_event_06,mobile,2025-11-10 20:11:09.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u509,page_view,tablet,2025-11-10 20:13:53.000000 UTC,page_location,/official-events/1599?utm_source=twitter&utm_medium=cpc&utm_campaign=spring_sale,,,,twitter,referral,t.co
2025-11-11,u510,dummy_event_04,desktop,2025-11-10 20:16:03.000000 UTC,ga_session_id,,8265044712195753170,,,line,cpc,line.me
2025-11-11,u511,dummy_event_05,mobile,2025-11-10 20:16:41.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u517,dummy_event_03,mobile,2025-11-10 20:20:21.000000 UTC,ga_session_id,,3780934356147613188,,,twitter,referral,t.co
2025-11-11,u520,dummy_event_03,mobile,2025-11-10 20:22:12.000000 UTC,ga_session_id,,8102539003905639243,,,google,organic,google
2025-11-11,u521,dummy_event_06,tablet,2025-11-10 20:22:52.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u523,page_view,mobile,2025-11-10 20:22:51.000000 UTC,page_location,/user/add,,,,direct,(none),(direct)
2025-11-11,u524,page_view,tablet,2025-11-10 20:23:08.000000 UTC,ga_session_id,,2281134364109314877,,,google,organic,google
2025-11-11,u528,dummy_event_02,desktop,2025-11-10 20:27:07.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u530,page_view,tablet,2025-11-10 20:26:55.000000 UTC,ga_session_id,,7964150896601210861,,,line,cpc,line.me
2025-11-11,u536,page_view,tablet,2025-11-10 20:30:42.000000 UTC,page_location,/official-events/1898?utm_source=twitter&utm_medium=cpc&utm_campaign=winter_push,,,,google,organic,google
2025-11-11,u537,page_view,desktop,2025-11-10 20:31:14.000000 UTC,page_location,/official-events/1908,,,,twitter,referral,t.co
2025-11-11,u537,page_view,desktop,2025-11-10 20:32:09.000000 UTC,ga_session_id,,1924098844566141978,,,twitter,referral,t.co
2025-11-11,u540,dummy_event_06,desktop,2025-11-10 20:34:35.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u541,OfficialEventsClick,mobile,2025-11-10 20:34:12.000000 UTC,page_location,/surveys/41/responses/new,,,,twitter,referral,t.co
2025-11-11,u541,dummy_event_03,mobile,2025-11-10 20:35:09.000000 UTC,ga_session_id,,3656658055285494842,,,twitter,referral,t.co
2025-11-11,u544,page_view,mobile,2025-11-10 20:35:38.000000 UTC,ga_session_id,,6746083001263682961,,,google,organic,google
2025-11-11,u548,OfficialEventsClick,tablet,2025-11-10 20:38:31.000000 UTC,ga_session_id,,5598638848268536093,,,google,organic,google
2025-11-11,u551,dummy_event_03,tablet,2025-11-10 20:41:19.000000 UTC,ga_session_id,,3377652174323986442,,,direct,(none),(direct)
2025-11-11,u553,page_view,mobile,2025-11-10 20:41:11.000000 UTC,ga_session_id,,8343466118507262775,,,twitter,referral,t.co
2025-11-11,u554,dummy_event_02,tablet,2025-11-10 20:43:09.000000 UTC,ga_session_id,,5119253507096210593,,,line,cpc,line.me
2025-11-11,u562,dummy_event_05,mobile,2025-11-10 20:48:08.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u565,dummy_event_04,mobile,2025-11-10 20:49:58.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u565,dummy_event_06,mobile,2025-11-10 20:50:00.000000 UTC,ga_session_id,,8837883276196522101,,,twitter,referral,t.co
2025-11-11,u574,dummy_event_06,mobile,2025-11-10 20:55:33.000000 UTC,ga_session_id,,6574397424336832193,,,line,cpc,line.me
2025-11-11,u582,page_view,desktop,2025-11-10 20:59:14.000000 UTC,ga_session_id,,5370729776603932480,,,line,cpc,line.me
2025-11-11,u589,page_view,mobile,2025-11-10 21:04:13.000000 UTC,page_location,/surveys/89/content,,,,twitter,referral,t.co
2025-11-11,u595,OfficialEventsClick,mobile,2025-11-10 21:07:30.000000 UTC,page_location,/surveys/95/responses/new,,,,direct,(none),(direct)
2025-11-11,u597,page_view,desktop,2025-11-10 21:08:39.000000 UTC,ga_session_id,,7787485979416683142,,,twitter,referral,t.co
2025-11-11,u597,dummy_event_06,desktop,2025-11-10 21:09:44.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u599,page_view,tablet,2025-11-10 21:10:23.000000 UTC,ga_session_id,,3516893083620423283,,,direct,(none),(direct)
2025-11-11,u1,page_view,mobile,2025-11-10 15:01:07.000000 UTC,ga_session_id,,8386833053093220124,,,twitter,referral,t.co
2025-11-11,u2,page_view,tablet,2025-11-10 15:02:14.000000 UTC,ga_session_id,,8933176770286158110,,,line,cpc,line.me
2025-11-11,u3,dummy_event_06,desktop,2025-11-10 15:03:26.000000 UTC,ga_session_id,,7001828758392347444,,,direct,(none),(direct)
2025-11-11,u4,dummy_event_05,mobile,2025-11-10 15:04:02.000000 UTC,page_location,/home,,,,google,organic,google
2025-11-11,u6,page_view,desktop,2025-11-10 15:03:47.000000 UTC,page_location,/official-events/67?utm_source=instagram&utm_medium=cpc&utm_campaign=winter_push,,,,line,cpc,line.me
2025-11-11,u6,dummy_event_04,desktop,2025-11-10 15:05:15.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u9,dummy_event_06,desktop,2025-11-10 15:07:08.000000 UTC,ga_session_id,,7555040489259707360,,,twitter,referral,t.co
2025-11-11,u10,dummy_event_04,mobile,2025-11-10 15:07:43.000000 UTC,ga_session_id,,7160282686684807718,,,line,cpc,line.me
2025-11-11,u11,login,tablet,2025-11-10 15:07:12.000000 UTC,page_location,/user/add,,,,direct,(none),(direct)
2025-11-11,u15,dummy_event_05,desktop,2025-11-10 15:10:49.000000 UTC,ga_session_id,,6039314791364979989,,,direct,(none),(direct)
2025-11-11,u18,OfficialEventsClick,desktop,2025-11-10 15:11:41.000000 UTC,page_location,/surveys/18/responses/new,,,,line,cpc,line.me
2025-11-11,u23,login,tablet,2025-11-10 15:14:36.000000 UTC,page_location,/user/add,,,,direct,(none),(direct)
2025-11-11,u30,dummy_event_06,desktop,2025-11-10 15:20:05.000000 UTC,page_location,/home,,,,line,cpc,line.me
2025-11-11,u32,page_view,tablet,2025-11-10 15:19:54.000000 UTC,ga_session_id,,630130835581391884,,,google,organic,google
2025-11-11,u36,dummy_event_04,desktop,2025-11-10 15:23:45.000000 UTC,ga_session_id,,2866119120872053253,,,google,organic,google
2025-11-11,u43,dummy_event_04,mobile,2025-11-10 15:28:04.000000 UTC,ga_session_id,,2525352617057110097,,,direct,(none),(direct)
2025-11-11,u47,dummy_event_04,tablet,2025-11-10 15:30:32.000000 UTC,page_location,/home,,,,direct,(none),(direct)
2025-11-11,u56,page_view,tablet,2025-11-10 15:35:32.000000 UTC,ga_session_id,,5592150246590625399,,,google,organic,google
2025-11-11,u60,page_view,desktop,2025-11-10 15:37:20.000000 UTC,page_location,/user/add,,,,google,organic,google
2025-11-11,u61,login,mobile,2025-11-10 15:38:02.000000 UTC,ga_session_id,,6665349725593985868,,,twitter,referral,t.co
2025-11-11,u61,page_view,mobile,2025-11-10 15:38:22.000000 UTC,page_location,/surveys/61/responses/427,,,,twitter,referral,t.co
2025-11-11,u68,page_view,tablet,2025-11-10 15:42:16.000000 UTC,page_location,/user/add,,,,google,organic,google
2025-11-11,u69,login,desktop,2025-11-10 15:42:58.000000 UTC,page_location,/user/add,,,,twitter,referral,t.co
2025-11-11,u72,OfficialEventsClick,desktop,2025-11-10 15:44:59.000000 UTC,Click_Classes,participateBtn,,,,google,organic,google
2025-11-11,u76,page_view,mobile,2025-11-10 15:46:57.000000 UTC,ga_session_id,,810794466407870732,,,google,organic,google
2025-11-11,u80,page_view,tablet,2025-11-10 15:49:25.000000 UTC,ga_session_id,,6128954227714047121,,,google,organic,google
2025-11-11,u85,page_view,mobile,2025-11-10 15:53:25.000000 UTC,page_location,/surveys/85/content,,,,twitter,referral,t.co
2025-11-11,u88,dummy_event_05,mobile,2025-11-10 15:55:50.000000 UTC,ga_session_id,,6097455823778202710,,,google,organic,google
2025-11-11,u90,OfficialEventsClick,desktop,2025-11-10 15:56:20.000000 UTC,Click_Classes,squareBtnM,,,,line,cpc,line.me
2025-11-11,u90,purchase,desktop,2025-11-10 15:56:50.000000 UTC,ga_session_id,,2684213040511943931,,,line,cpc,line.me
2025-11-11,u93,dummy_event_04,desktop,2025-11-10 15:58:54.000000 UTC,page_location,/home,,,,twitter,referral,t.co
2025-11-11,u95,OfficialEventsClick,tablet,2025-11-10 15:59:10.000000 UTC,ga_session_id,,410741925990997826,,,direct,(none),(direct)
2025-11-11,u98,page_view,tablet,2025-11-10 16:01:11.000000 UTC,ga_session_id,,1895194977710129851,,,line,cpc,line.me
2025-11-11,u100,page_view,mobile,2025-11-10 16:01:50.000000 UTC,ga_session_id,,3567105241483111272,,,google,organic,google
